"variable","conditions","pulse","max_zscore","mean_z_score","max_value","mean_value","odorant","short_cond_names"
"6","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",3.00004862005962,0.659749974232753,1.02118801686296,1.01028657693,"Octanal_e3","DmOR7a_F_3"
"7","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",4.73475650278774,0.628231360011491,1.03189960302415,1.01460768019326,"Octanal_e3","DmOR43a_M_3"
"7","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",4.07793043413731,0.760265569551647,1.02739808958447,1.01095065131699,"Octanal_e3","DmOR43a_M_3"
"7","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",3.15458215791065,0.548189497355481,1.02106998405804,1.0082983649833,"Octanal_e3","DmOR43a_M_3"
"8","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",4.44636667368568,0.74663732136936,1.02971589249124,1.01523934584136,"Octanal_e3","DmOR43a_M_3"
"8","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",3.69564725509279,0.718252430713371,1.02471332701634,1.01064612879494,"Octanal_e3","DmOR43a_M_3"
"8","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",2.88824336967189,0.608790284634824,1.01933303352522,1.00892489413203,"Octanal_e3","DmOR43a_M_3"
"9","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",5.42943072717669,0.594465549921695,1.03644047556201,1.01590158930334,"Octanal_e3","DmOR43a_M_3"
"9","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",4.73243487215746,0.50575712033665,1.03167722742374,1.0099195361099,"Octanal_e3","DmOR43a_M_3"
"9","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",3.92722438363848,0.500468688542078,1.0261744438236,1.00781124104136,"Octanal_e3","DmOR43a_M_3"
"10","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",6.4355613882282,0.810219954552318,1.04506037343263,1.01949901376119,"Octanal_e3","DmOR43a_M_3"
"10","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",5.98381557333112,0.947557374283356,1.04186618972316,1.01469570852911,"Octanal_e3","DmOR43a_M_3"
"10","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",4.35078173894896,0.522840386680902,1.03031940854937,1.00990614031866,"Octanal_e3","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",5.39344113291351,0.745400153620624,1.03605225559867,1.01668251277568,"Octanal_e3","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",4.96444468188665,0.801544854034799,1.03314616156824,1.01279194784744,"Octanal_e3","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",3.89963693946225,0.535523325090399,1.02593297503393,1.00853878415782,"Octanal_e3","DmOR43a_M_3"
"12","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",5.34781106716322,0.806653184455983,1.03682192718112,1.01695384144302,"Octanal_e3","DmOR43a_M_3"
"12","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",4.25313542189974,0.353318716062182,1.02930964603863,1.00899236908224,"Octanal_e3","DmOR43a_M_3"
"12","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",4.3278159207276,0.462077787006644,1.02982214570507,1.00946358151738,"Octanal_e3","DmOR43a_M_3"
"13","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",2.84600259656904,0.368874346761269,1.01993771526753,1.01041613448346,"Octanal_e3","DmOR43b_M_3"
"13","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",2.42706712968351,0.459697404198063,1.01702740393866,1.00759535549351,"Octanal_e3","DmOR43b_M_3"
"13","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",1.56843302812954,0.23639136373069,1.01106254120769,1.00485252753845,"Octanal_e3","DmOR43b_M_3"
"14","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",2.73965783696048,0.395901557872198,1.01911087907021,1.01035805375437,"Octanal_e3","DmOR43b_M_3"
"14","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",2.31517926319628,0.445812440442735,1.01617249195383,1.00718581126393,"Octanal_e3","DmOR43b_M_3"
"14","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",1.49851861872527,0.252082287891153,1.0105192852563,1.00451973255313,"Octanal_e3","DmOR43b_M_3"
"15","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",5.045351528771,0.838459857003707,1.0338111742019,1.01623151660189,"Octanal_e3","DmOR43b_M_3"
"15","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",4.29736946839785,0.773897618860401,1.02864519385249,1.01121750096205,"Octanal_e3","DmOR43b_M_3"
"15","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",3.00474741905319,0.221911835343765,1.01971762665551,1.00455272912169,"Octanal_e3","DmOR43b_M_3"
"16","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",5.14820964558764,0.575760267094318,1.03637954782558,1.01575545020322,"Octanal_e3","DmOR43b_M_3"
"16","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",4.95427926739325,0.828340013128749,1.03501247605159,1.01349321767857,"Octanal_e3","DmOR43b_M_3"
"16","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",3.48995223334468,0.422745075994657,1.02469000788144,1.00807755854048,"Octanal_e3","DmOR43b_M_3"
"17","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",5.33128587395117,0.754163469775778,1.03700142796492,1.01734659504982,"Octanal_e3","DmOR43b_M_3"
"17","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",4.72735206972054,0.714364527531895,1.03284087589385,1.01330824603654,"Octanal_e3","DmOR43b_M_3"
"17","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",3.40127451707964,0.291559676643771,1.02370541324979,1.00731143717289,"Octanal_e3","DmOR43b_M_3"
"18","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",4.70090071255497,0.433768361611153,1.03308464953203,1.01440528269648,"Octanal_e3","DmOR43b_M_3"
"18","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",4.56654076355427,0.615396588313854,1.0321502510252,1.01232428088261,"Octanal_e3","DmOR43b_M_3"
"18","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",3.84343708888015,0.587317765679714,1.02712146827464,1.01040453003573,"Octanal_e3","DmOR43b_M_3"
"1","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",0.57633920679709,0.232841329035253,1.00556229973602,1.00412846879232,"water 2","DmOR7a_F_3"
"1","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",0.363160802275914,0.219315166073807,1.00394535325835,1.00492219323518,"water 2","DmOR7a_F_3"
"1","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",0.0248290391161975,-0.237137712003231,1.00137912543638,0.999937869120252,"water 2","DmOR7a_F_3"
"2","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",1.01293845073647,0.420063821390301,1.01096937347529,1.00869914274666,"water 2","DmOR7a_F_3"
"2","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",0.521457164707438,-0.258376576219097,1.00749815923235,1.003834498071,"water 2","DmOR7a_F_3"
"2","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",0.10306734643098,-0.307310507232508,1.00454317246564,1.00299937630962,"water 2","DmOR7a_F_3"
"3","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",0.816738886041872,0.30712764784473,1.00680286028548,1.00466395041611,"water 2","DmOR7a_F_3"
"3","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",0.749453624044938,0.0852637352370506,1.00634709175916,1.00350095409117,"water 2","DmOR7a_F_3"
"3","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",-0.233643820456092,-0.396748218783301,0.99968790874936,0.998463522415835,"water 2","DmOR7a_F_3"
"4","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",0.29276608729155,-0.789676106912027,1.00133932762387,0.977913690610802,"water 2","DmOR7a_F_3"
"4","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",2.11905357303503,1.39024067736911,1.042944709066,1.02425504354674,"water 2","DmOR7a_F_3"
"4","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",0.905351598648637,0.489493701874854,1.0152948817548,1.01372128138361,"water 2","DmOR7a_F_3"
"5","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",1.05233386687545,0.628929122014305,1.00964582240337,1.00802596336432,"water 2","DmOR7a_F_3"
"5","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",-0.0378691387879673,0.169873002813557,1.00197467840568,1.00564625912213,"water 2","DmOR7a_F_3"
"5","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",-0.0434303591541267,-0.540665238006399,1.00193554723285,0.998189317303054,"water 2","DmOR7a_F_3"
"6","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",0.853994575444979,0.375630432607286,1.00660287140143,1.00366747331978,"water 2","DmOR7a_F_3"
"6","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",0.17424060852938,0.230885942880289,1.00185451509726,1.00314861458789,"water 2","DmOR7a_F_3"
"6","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",-0.309225046107048,-0.360127430996724,0.998477312019718,0.998239251720523,"water 2","DmOR7a_F_3"
"7","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.57020855079958,0.414422479327686,1.00443862047393,1.00347679031183,"water 2","DmOR43a_M_3"
"7","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.507994049366947,0.119160714449354,1.00401205450672,1.00223908170395,"water 2","DmOR43a_M_3"
"7","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.170807644869047,-0.478258159381462,0.999357935377309,0.996194272301735,"water 2","DmOR43a_M_3"
"8","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.451099122608871,0.218247860993494,1.00439026676604,1.00333209500164,"water 2","DmOR43a_M_3"
"8","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.641001017542264,0.129669558115117,1.00566790619774,1.00355585730503,"water 2","DmOR43a_M_3"
"8","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.223998381992164,-0.295507088141384,0.999848283694085,0.998593653922064,"water 2","DmOR43a_M_3"
"9","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.411555794676539,0.361803227259329,1.00395095031395,1.00418838937343,"water 2","DmOR43a_M_3"
"9","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",-0.0318871236239676,-0.0329000384990706,1.00085871261937,1.00126194226186,"water 2","DmOR43a_M_3"
"9","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.257482926844065,-0.328636811828056,0.999285577007847,0.997943224819655,"water 2","DmOR43a_M_3"
"10","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",1.00664876713756,0.203695177875227,1.0087712259748,1.00377774663735,"water 2","DmOR43a_M_3"
"10","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.042349814072172,-0.0434040804736821,1.00171197324712,1.00151669516549,"water 2","DmOR43a_M_3"
"10","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.198627901752196,-0.378940638580153,0.999947870328274,0.99858958012926,"water 2","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.54679620396707,0.414393327573224,1.00384978364096,1.00309929140539,"water 2","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.632272749084017,0.0918908695887127,1.0044445758362,1.0013323540647,"water 2","DmOR43a_M_3"
"11","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",-0.190710462032072,-0.281045743355321,0.998717811960617,0.997544239749587,"water 2","DmOR43a_M_3"
"12","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.700985002529283,0.561601668124127,1.00553135913548,1.00506854084728,"water 2","DmOR43a_M_3"
"12","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.505497067688784,0.167314204776887,1.00406816646972,1.00455255647244,"water 2","DmOR43a_M_3"
"12","DmOR43a_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",0.166997138407745,-0.32877615877762,1.00153455428394,0.996761018511553,"water 2","DmOR43a_M_3"
"13","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.672020541841957,0.267872802604702,1.00579945483968,1.00335888236119,"water 2","DmOR43b_M_3"
